id,availability_365,latitude,longitude
20596569,344,51.52887786,-0.115541921
20596696,302,51.49817847,-0.0149344
20596706,338,51.49882393,-0.049897027
20596715,35,51.49390098,0.012821281
20596782,203,51.52170146,-0.106411004
20596865,0,51.51545771,-0.058883466
20596896,167,51.55743229,-0.074995291
20597306,0,51.56945688,-0.029056886
20597476,70,51.46195711,-0.159913526
20597512,152,51.55521674,0.148834288
20597596,317,51.5297099,-0.101523271
20597735,336,51.51646886,-0.162401997
20597756,365,51.4670841,-0.196266327
20598265,29,51.53240793,-0.186966948
20598636,53,51.51929507,-0.050049268
20598767,147,51.55122195,-0.123826233
20598946,91,51.52527415,-0.064597908
20598993,105,51.51953958,-0.167484913
20599056,0,51.52618936,-0.079147423
20599293,87,51.59887057,-0.072300161
20599321,355,51.51975413,-0.167156323
20599644,57,51.52531358,-0.065245205
20599671,0,51.50285052,-0.234475329
20600044,0,51.5262402,-0.07937526
20600136,0,51.50018313,-0.117004813
20600442,329,51.49701705,-0.162919121
20600447,62,51.52674623,-0.083613344
20600669,88,51.54624704,-0.180675703
20601165,45,51.5337767,-0.055012435
20601235,0,51.52553746,-0.077890312
20601309,0,51.4743072,-0.112186113
20601454,0,51.57601815,-0.23771205
20601806,319,51.48997131,-0.143806322
20602669,96,51.55081764,-0.114438308
20602800,0,51.57400622,-0.018195442
20603100,365,51.57699582,-0.104336518
20603244,0,51.55724429,-0.086969584
20603605,78,51.55240815,-0.096741217
20603670,0,51.55493592,-0.16173031
20604054,280,51.53557647,-0.138369235
20604099,0,51.49414702,-0.130406289
20604756,67,51.45551793,-0.007638856
20604797,299,51.51385973,-0.049907598
20605018,170,51.4913237,-0.074546672
20605024,0,51.54487336,-0.034395129
20605055,0,51.51949819,-0.071265282
20605145,68,51.48857586,-0.2067628
20605252,44,51.51762466,-0.202228759
20605550,174,51.51935085,-0.131702802
20605780,89,51.4895692,-0.092082736
20605806,265,51.50311099,-0.081469462
20606819,89,51.51743372,-0.065284196
20608183,341,51.52353063,-0.068997765
20608347,276,51.51645849,0.032177462
20609598,20,51.54788574,0.009031238
20609789,362,51.57387132,0.125224271
20610471,364,51.59743725,-0.346572306
20610576,84,51.51774057,-0.067956722
20610600,52,51.52637426,0.013719105
20610953,0,51.53492419,-0.035684022
20610958,0,51.5233474,-0.156668613
20611009,0,51.51617222,0.013062995
20611301,0,51.44816382,-0.113643905
20611705,0,51.5345273,-0.190251807
20611729,4,51.53828347,-0.07598017
20612158,364,51.45115746,0.062735711
20612223,0,51.52816383,-0.195415919
20612290,364,51.45006073,0.0644019
20612433,98,51.50652552,-0.146471388
20612451,0,51.47272217,-0.03300669
20612483,364,51.4505969,0.064436439
20612490,103,51.54383321,-0.129104686
20612598,271,51.49567713,-0.197237952
20612608,77,51.46228857,-0.156703789
20612667,26,51.49286289,-0.171316614
20612679,0,51.51611674,-0.195887715
20612810,12,51.50363397,-0.110797904
20612817,67,51.51692622,-0.182884627
20612987,298,51.54737252,-0.071696254
20613081,186,51.50893312,0.024292286
20613163,44,51.49040137,-0.091909323
20613180,70,51.51310915,0.014245949
20613388,27,51.51910867,-0.075895964
20613468,363,51.63401296,-0.123214541
20613603,63,51.48266286,-0.335833334
20613613,79,51.50503465,-0.146460953
20613684,0,51.48436687,-0.192301441
20613796,359,51.64607698,-0.177008301
20614010,10,51.54965174,-0.189626828
20614029,100,51.50505834,-0.146500535
20614186,5,51.44941533,-0.119450237
20614205,39,51.52671954,-0.068299176
20614207,23,51.52107168,-0.095943217
20614211,365,51.57321922,-0.138940919
20614310,0,51.47676885,-0.029413109
20614344,365,51.57582042,-0.091097386
20614467,0,51.4589077,-0.182717314
20614718,167,51.53240099,-0.090229314
20614973,79,51.53301539,-0.229044523
20614989,0,51.55328668,-0.108759881
20615308,37,51.51792139,-0.073897365
20615319,0,51.438325,-0.218870027
20615550,259,51.47889781,-0.204084688
20615695,86,51.50538917,-0.146907406
20615908,342,51.29910817,-0.119805011
20615942,36,51.51748716,-0.149193644
20615950,45,51.49268342,-0.171258338
20616035,76,51.5056653,-0.145839576
20616172,0,51.51737049,-0.02198661
20616190,60,51.52735974,-0.13877694
20616333,0,51.53893535,-0.083191654
20616484,11,51.49669626,-0.169458763
20616488,64,51.49532836,-0.180313002
20616776,77,51.52326866,-0.209207389
20617028,51,51.51301394,-0.121629623
20617098,72,51.50081648,-0.018400561
20617156,3,51.52056998,-0.210953984
20617297,153,51.49600131,0.012165701
20617303,178,51.50014151,-0.013456242
20617404,0,51.51801563,-0.201689513
20617408,70,51.47791118,-0.147932023
20617428,0,51.55779741,-0.108434796
20617455,6,51.52942991,0.034950872
20617701,182,51.50142309,-0.018279757
20617735,25,51.50207505,0.036588184
20617752,161,51.50378669,-0.114974178
20617997,89,51.5114257,-0.035185089
20618008,324,51.49854058,-0.209227841
20618282,174,51.5341748,-0.104524901
20618807,365,51.53625292,-0.000245567
20618910,162,51.50013066,-0.016492668
20619066,0,51.47048485,-0.098082539
20619138,269,51.54081379,-0.247179496
20619248,76,51.501256,-0.016839556
20619334,235,51.43057339,-0.169366227
20619351,88,51.48121238,-0.015026262
20619427,0,51.47609676,-0.03081823
20619877,45,51.49295902,-0.13131644
20619962,18,51.5003077,-0.09460383
20620210,185,51.47301817,-0.161831449
20620830,365,51.57969248,-0.070290072
20620853,363,51.49853429,-0.022566801
20620871,0,51.53780391,-0.119976827
20621166,365,51.61301726,0.117476464
20621473,0,51.52090523,-0.074780941
20621791,44,51.49946142,-0.134048613
20621840,3,51.50803413,-0.229840707
20621851,54,51.35231687,-0.102716321
20621852,10,51.47961409,-0.033883736
20622084,0,51.47147266,-0.091727758
20622172,90,51.51050355,-0.251450099
20622320,0,51.53875883,-0.11817357
20622340,333,51.5129903,-0.012613228
20622475,349,51.50729226,0.019046282
20622640,152,51.48126104,-0.033243113
20622721,121,51.49221496,-0.038892244
20625373,300,51.5183157,-0.053650873
20625477,364,51.43704604,-0.116243214
20626288,49,51.51975999,-0.026466589
20626719,0,51.53841412,-0.065643837
20627079,0,51.45653746,-0.100598493
20627165,256,51.4928293,-0.166112687
20627410,0,51.53292672,-0.226590585
20627423,259,51.58598868,-0.359972726
20627444,157,51.3981757,-0.069925378
20627875,0,51.47145681,-0.172749415
20627897,296,51.5147432,-0.16426274
20628088,0,51.52011696,-0.026353132
20628288,354,51.53471083,-0.082374837
20628300,332,51.51598595,-0.165800731
20628408,105,51.52154399,-0.209543358
20628429,0,51.51093971,-0.070003705
20628648,0,51.41104361,-0.055839849
20628705,364,51.4543225,-0.112164588
20628786,43,51.51425798,-0.179395062
20628895,162,51.53664342,-0.069120493
20628926,89,51.52040941,-0.208585394
20628977,364,51.59848225,-0.249010169
20628984,0,51.49534172,-0.06910414
20629044,35,51.48662469,0.004773045
20629094,66,51.49158747,-0.18797
20629149,129,51.49434992,-0.177385979
20629162,0,51.55592874,-0.047926386
20629380,315,51.52112354,-0.208989461
20629637,90,51.49076228,-0.204571444
20629774,0,51.50362063,-0.226607156
20630107,0,51.50681207,0.11871577
20630118,0,51.45582149,-0.100771662
20630200,0,51.50380454,-0.225440612
20630241,0,51.56992959,-0.137469906
20631005,117,51.47273159,-0.041832504
20631104,0,51.48057316,-0.237560703
20631594,0,51.54291048,-0.090492407
20631761,364,51.54426592,-0.077583538
20631830,0,51.48645961,-0.175532922
20632130,304,51.49403044,-0.17495692
20632192,12,51.53709492,-0.091654695
20632599,336,51.49212752,-0.211362174
20632796,322,51.49039066,-0.106626227
20632840,0,51.48575032,-0.133373437
20632910,292,51.50317206,-0.277686628
20633146,128,51.49845704,-0.253971624
20633199,337,51.41500541,-0.05835005
20633419,351,51.46159727,-0.188709303
20633585,321,51.51303222,-0.069685528
20633773,364,51.56096153,0.059999509
20634791,7,51.55603206,-0.093424348
20635213,34,51.47816113,-0.173901894
20635901,338,51.53039699,-0.294819222
20636078,257,51.54878818,0.008318877
20636088,35,51.59177746,-0.059535781
20636332,288,51.51745658,-0.052333165
20636442,0,51.48425012,-0.100975998
20636652,16,51.49752624,-0.035114519
20636905,0,51.54841483,-0.000751298
20637048,129,51.54595345,-0.129066732
20637088,311,51.52511455,-0.047919612
20637407,99,51.54533222,-0.186160985
20637490,0,51.49314788,-0.196830598
20637713,90,51.52436743,-0.123766935
20637755,216,51.55472427,-0.116198264
20637863,0,51.55671302,0.221033705
20637904,70,51.45093094,-0.144628322
20638085,17,51.37842523,-0.179401269
20639084,0,51.51983024,-0.092744778
20641687,0,51.48996276,-0.191328901
20642855,84,51.60014783,-0.147578314
20643633,169,51.54508985,-0.137891485
20643650,303,51.50741709,-0.005386782
20643673,0,51.46590816,-0.109203317
20643783,320,51.45543388,-0.190299625
20644020,0,51.49300437,-0.209047824
20644040,111,51.50171738,-0.073446806
20644096,324,51.53858383,-0.117621775
20644370,353,51.54055062,-0.117250177
20644522,0,51.52202356,-0.138066408
20644526,180,51.49415175,-0.230179089
20644540,342,51.53863336,-0.117708645
20644593,148,51.48335551,0.025401564
20644815,0,51.56480365,-0.068817012
20644910,154,51.50473258,-0.194539745
20645103,343,51.51627163,-0.032036542
20645439,36,51.51539928,-0.046316847
20645626,0,51.51505714,0.030581081
20645944,104,51.53437118,-0.096779221
20645967,178,51.48976137,-0.131274655
20646041,161,51.48539353,-0.190931625
20646146,150,51.65421674,-0.09035361
20646170,0,51.53678612,-0.048259735
20646355,0,51.5426752,-0.147846495
20646428,82,51.52772861,-0.069587035
20646484,0,51.54732567,-0.121814136
20646540,156,51.5457806,-0.180625443
20646758,229,51.34654294,-0.177177842
20646905,288,51.56314224,0.098764975
20646974,328,51.59131558,-0.252968168
20647001,0,51.5129485,-0.175022355
20647015,337,51.50319617,0.088410793
20647110,85,51.51160694,-0.076420993
20647436,0,51.47909607,-0.038037755
20647473,0,51.43331542,-0.069050034
20647740,0,51.5084627,0.01753383
20647767,0,51.51809823,-0.045941279
20648155,189,51.52907792,-0.076275415
20648472,324,51.49161219,-0.163712278
20648599,0,51.50137059,-0.092542819
20648899,45,51.33433519,-0.105610176
20649124,208,51.45940858,-0.118500709
20649160,181,51.49946962,-0.018342146
20649369,53,51.51287673,-0.06403454
20649421,0,51.45455693,-0.176543496
20649504,67,51.52588267,-0.100856809
20649551,196,51.508529,0.001630265
20649558,36,51.52693811,-0.101645152
20649660,313,51.43118755,-0.057452024
20649748,40,51.52736442,-0.077672976
20649775,89,51.52983398,-0.326807581
20649942,82,51.57322762,-0.092022503
20649999,180,51.57199344,-0.093611846
20650054,75,51.50180912,0.036766593
20650163,361,51.44139575,-0.192154898
20650244,335,51.51789485,-0.072763224
20650300,80,51.45114792,-0.237072155
20650420,196,51.50057042,-0.024471212
20650791,185,51.50200573,-0.018070731
20651002,36,51.55280296,-0.10076554
20651106,365,51.53613716,-0.103011323
20651253,187,51.51345507,-0.134504799
20651855,90,51.41817245,-0.178370231
20651987,173,51.54701426,-0.130379054
20652095,365,51.5358934,-0.136292886
20652159,341,51.50678605,-0.029290981
20652382,42,51.51253938,-0.144307435
20652429,0,51.49122173,-0.119826771
20652483,90,51.53614356,-0.162237749
20653171,0,51.53630958,-0.189500518
20653283,273,51.51428416,-0.165313855
20654447,35,51.42403986,-0.10234591
20654550,332,51.52267899,-0.05284484
20654653,0,51.47033954,-0.111562021
20654683,179,51.55623483,-0.245096708
20656085,247,51.5584459,-0.280560923
20656839,364,51.58058548,-0.018123233
20657430,75,51.40009035,-0.072226069
20657788,19,51.51295322,-0.137572327
20657810,87,51.5281092,-0.106298542
20658037,359,51.52514381,-0.184835358
20658370,300,51.52606801,-0.138933043
20658527,365,51.49945475,-0.044004918
20658611,0,51.47420294,-0.172328426
20658760,281,51.5018884,-0.244169482
20658788,167,51.52857526,-0.121132236
20659007,47,51.52365498,-0.11628747
20659522,171,51.66868576,-0.177083218
20659535,30,51.49891223,-0.166691107
20659615,101,51.53098762,-0.033417183
20659683,198,51.52743956,-0.138337718
20659902,180,51.48813763,-0.260432793
20660068,137,51.52721428,-0.139662859
20660207,82,51.47946227,-0.270504678
20660270,90,51.54623907,-0.180873244
20660382,133,51.48154737,-0.095143865
20660542,0,51.57394629,-0.083959946
20660606,87,51.51178467,0.129979944
20660683,0,51.51872465,-0.070455402
20660810,0,51.58368968,-0.059047759
20661169,0,51.47859951,-0.050657639
20661298,0,51.50602451,-0.040839764
20661310,349,51.49796525,-0.024986822
20661389,35,51.5262658,-0.07913284
20661511,46,51.52599717,-0.078809033
20661944,19,51.52751261,-0.078891277
20662303,7,51.54992768,-0.089731593
20662687,22,51.55232934,-0.224402853
20662760,8,51.49615104,-0.129634819
